username,fullname,email,subject,score,correct,total,answered,time_taken,submitted_at,status
candidate0001,ace,ace@gmail.com,BIOLOGY,38,15,40,39,49,2025-10-02T14:50:55.764Z,completed
candidate0001,ace,ace@gmail.com,BIOLOGY,8,3,40,7,24,2025-10-02T15:01:55.452Z,timeout
candidate0001,ace,ace@gmail.com,BIOLOGY,33,13,40,39,59,2025-10-02T15:05:12.387Z,completed
candidate0001,ace,ace@gmail.com,BIOLOGY,53,21,40,40,48,2025-10-02T15:08:36.226Z,completed
candidate0001,ace,ace@gmail.com,CHEMISTRY,0,0,40,0,26,2025-10-02T17:37:25.202Z,timeout
candidate0001,ace,ace@gmail.com,CHEMISTRY,10,4,40,5,27,2025-10-02T17:38:59.205Z,timeout
candidate0001,ace,ace@gmail.com,COMPUTER STUDIES,33,13,40,40,124,2025-10-02T17:49:59.565Z,completed
candidate0001,ace,ace@gmail.con,ECONOMICS,0,0,40,2,220,2025-10-02T17:58:37.368Z,timeout
candidate0001,Mr John,John@gmail.com,ECONOMICS,35,14,40,40,118,2025-10-02T18:02:06.702Z,completed
candidate0001,bayo segun,bayo@gmail.com,ENGLISH LANGUAGE,40,16,40,40,125,2025-10-02T18:19:40.593Z,completed
